subject,my_mac,their_mac,rssi,local_time
MATT,6C:B2:FD:CE:2D:F0,6C:B2:FD:CE:2D:E0,-77,1683032908
MATT,6C:B2:FD:CE:2D:F0,6C:B2:FD:CE:2D:E0,-90,1683032968
MATT,6C:B2:FD:CE:2D:F0,6C:B2:FD:CE:2D:E9,-84,1683033028
MATT,6C:B2:FD:CE:2D:F0,6C:B2:FD:CE:2D:E0,-85,1683033028
MATT,6C:B2:FD:CE:2D:F0,6C:B2:FD:CE:2D:E0,-77,1683033088
MATT,6C:B2:FD:CE:2D:F0,6C:B2:FD:CE:2D:E0,-80,1683033149
MATT,6C:B2:FD:CE:2D:F0,6C:B2:FD:CE:2D:E9,-93,1683033209
MATT,6C:B2:FD:CE:2D:F0,6C:B2:FD:CE:2D:E0,-85,1683033209
MATT,6C:B2:FD:CE:2D:F0,6C:B2:FD:CE:2D:E0,-77,1683033269
MATT,6C:B2:FD:CE:2D:F0,6C:B2:FD:CE:2D:E9,-89,1683033330
MATT,6C:B2:FD:CE:2D:F0,6C:B2:FD:CE:2D:E0,-81,1683033330
MATT,6C:B2:FD:CE:2D:F0,6C:B2:FD:CE:2D:E9,-91,1683033390
MATT,6C:B2:FD:CE:2D:F0,6C:B2:FD:CE:2D:E9,-91,1683033450
MATT,6C:B2:FD:CE:2D:F0,6C:B2:FD:CE:2D:E0,-82,1683033450
MATT,6C:B2:FD:CE:2D:F0,6C:B2:FD:CE:2D:E0,-77,1683033510
MATT,6C:B2:FD:CE:2D:F0,6C:B2:FD:CE:2D:E9,-89,1683033510
MATT,6C:B2:FD:CE:2D:F0,6C:B2:FD:CE:2D:E0,-77,1683033571
MATT,6C:B2:FD:CE:2D:F0,6C:B2:FD:CE:2D:E9,-91,1683033571
MATT,6C:B2:FD:CE:2D:F0,6C:B2:FD:CE:2D:E0,-77,1683033631
MATT,6C:B2:FD:CE:2D:F0,6C:B2:FD:CE:2D:E0,-77,1683033691
MATT,6C:B2:FD:CE:2D:F0,6C:B2:FD:CE:2D:E0,-81,1683033751
MATT,6C:B2:FD:CE:2D:F0,6C:B2:FD:CE:2D:E0,-82,1683033811
MATT,6C:B2:FD:CE:2D:F0,6C:B2:FD:CE:2D:E0,-77,1683033871
MATT,6C:B2:FD:CE:2D:F0,6C:B2:FD:CE:2D:E0,-77,1683033931
MATT,6C:B2:FD:CE:2D:F0,6C:B2:FD:CE:2D:E0,-81,1683033991
MATT,6C:B2:FD:CE:2D:F0,6C:B2:FD:CE:2D:E0,-81,1683034051
MATT,6C:B2:FD:CE:2D:F0,6C:B2:FD:CE:2D:E9,-89,1683034051
MATT,6C:B2:FD:CE:2D:F0,6C:B2:FD:CE:2D:E0,-71,1683034184
MATT,6C:B2:FD:CE:2D:F0,6C:B2:FD:CE:2D:E0,-71,1683034244
MATT,6C:B2:FD:CE:2D:F0,6C:B2:FD:CE:2D:E0,-73,1683034305
MATT,6C:B2:FD:CE:2D:F0,6C:B2:FD:CE:2D:DC,-95,1683034365
