subject,my_mac,data_type,data_value,local_time
MATT,6C:B2:FD:CE:2D:F0,mode,1.00,0
MATT,6C:B2:FD:CE:2D:F0,conn,0.00,0
MATT,6C:B2:FD:CE:2D:F0,tsync,0.00,1683032842
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683032849
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683032974
MATT,6C:B2:FD:CE:2D:F0,deg_c,20.00,1683033118
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.85,1683033118
MATT,6C:B2:FD:CE:2D:F0,deg_c,19.00,1683033418
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.86,1683033418
MATT,6C:B2:FD:CE:2D:F0,deg_c,18.25,1683033718
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.85,1683033718
MATT,6C:B2:FD:CE:2D:F0,deg_c,18.00,1683034018
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.85,1683034018
MATT,6C:B2:FD:CE:2D:F0,conn,0.00,1683034051
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683034123
MATT,6C:B2:FD:CE:2D:F0,deg_c,18.25,1683034318
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.85,1683034318
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683034351
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683034415
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683034480
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683034540
MATT,6C:B2:FD:CE:2D:F0,deg_c,21.00,1683034618
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.85,1683034618
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683034600
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683034690
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683034753
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683034814
MATT,6C:B2:FD:CE:2D:F0,deg_c,22.00,1683034918
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.85,1683034918
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683034876
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683034945
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683035006
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683035067
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683035140
MATT,6C:B2:FD:CE:2D:F0,deg_c,22.25,1683035218
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.85,1683035218
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683035201
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683035287
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683035355
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683035415
MATT,6C:B2:FD:CE:2D:F0,deg_c,24.00,1683035518
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.85,1683035518
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683035477
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683035537
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683035598
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683035659
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683035738
MATT,6C:B2:FD:CE:2D:F0,deg_c,23.75,1683035818
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.85,1683035818
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683035820
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683035881
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683036049
MATT,6C:B2:FD:CE:2D:F0,deg_c,24.00,1683036118
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.85,1683036118
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683036139
MATT,6C:B2:FD:CE:2D:F0,deg_c,24.00,1683036418
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.84,1683036418
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683036599
MATT,6C:B2:FD:CE:2D:F0,deg_c,24.00,1683036718
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.85,1683036718
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683036665
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683036780
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683036840
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683036900
MATT,6C:B2:FD:CE:2D:F0,deg_c,23.25,1683037018
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.85,1683037018
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683036968
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683037030
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683037152
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683037220
MATT,6C:B2:FD:CE:2D:F0,deg_c,25.00,1683037318
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.85,1683037318
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683037286
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683037361
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683037421
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683037481
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683037542
MATT,6C:B2:FD:CE:2D:F0,deg_c,18.00,1683037618
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.85,1683037618
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683037611
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683037671
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683037732
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683037795
MATT,6C:B2:FD:CE:2D:F0,deg_c,22.00,1683037918
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.85,1683037918
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683037963
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683038141
MATT,6C:B2:FD:CE:2D:F0,deg_c,24.00,1683038218
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.85,1683038218
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683038379
MATT,6C:B2:FD:CE:2D:F0,deg_c,24.25,1683038518
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.85,1683038518
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683038480
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683038581
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683038641
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683038702
MATT,6C:B2:FD:CE:2D:F0,deg_c,24.25,1683038818
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.85,1683038818
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683038762
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683038822
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683038891
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683038952
